"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-22","6.93","0.00",,,,"64","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-23","9.17","0.00",,,,"75","33",,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-24","6.71","0.00",,,,"70","38",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-25","5.82","0.00",,,,"76","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-26","21.03","0.00",,,,"77","48",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-27","8.72","0.00",,,,"70","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-28","6.49","0.00",,,,"74","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-29","6.71","0.00",,,,"69","43",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-30","4.70","0.00",,,,"74","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-31","10.51","0.00",,,,"80","42",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-01","15.21","0.00",,,,"81","49",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-02","19.91","0.05",,,,"58","32","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-03","13.42","0.60",,,,"32","29","    1","    1",,,,"    1",,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-04","4.92","0.00",,,,"58","32","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-05","13.42","0.00",,,,"69","34",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-06","18.79","0.00",,,,"73","38",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-07","13.42","0.00",,,,"60","29",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-08","7.83","0.00",,,,"69","30",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-09","6.93","0.00",,,,"69","35",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-10","7.83","0.00",,,,"76","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-11","12.30","0.20",,,,"70","44","    1",,"    1",,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-12","7.61","0.06",,,,"63","40","    1",,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-13","9.40","0.00",,,,"62","36",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-14","7.38","0.25",,,,"61","32","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-15","13.20","0.04",,,,"50","32","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-16","6.49","0.00",,,,"57","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-17","5.82","0.00",,,,"67","36",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-18","7.83","0.00",,,,"70","36",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-19","7.16","0.00",,,,"61","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-20","8.05","0.00",,,,"67","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-21","6.71","0.00",,,,"74","44",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-22","5.59","0.00",,,,"73","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-23","6.04","0.00",,,,"79","44",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-24","9.17","0.00",,,,"85","51",,,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-25","7.16","0.00",,,,"78","48",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-26","9.84","0.08",,,,"79","50","    1",,"    1",,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-27","9.17","0.01",,,,"67","37","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-28","9.17","0.00",,,,"60","28",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-29","6.04","0.00",,,,"63","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-04-30","6.49","0.00",,,,"76","37",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-05-01","9.62","0.00",,,,"76","49",,,,,,,,
